stock,day,volatility,liquidity,hft_buy,hft_sell,hft,return,bist30_return,extra_ret_market,volume
AKBNK,1.12.2015,0.025568182,37517882.7,0.028257457,0.040991574,0.034523999,0.028830189,0.020638075,0.008192115,40499728.17
AKBNK,2.12.2015,0.023759609,44088255.57,0.013712923,0.00814234,0.010943708,-0.004254695,-0.005085469,0.000830774,48180799.93
AKBNK,3.12.2015,0.028248588,74257332.64,0.036459189,0.015194682,0.025630692,-0.013997348,-0.012332227,-0.001665121,34837573.77
AKBNK,4.12.2015,0.041877256,42890479.95,0.021203507,0.045025783,0.032757884,-0.01583981,-0.015738837,-0.000100972,32252300.53
AKBNK,7.12.2015,0.0275562,24235465.81,0.040805321,0.02653981,0.033408343,0.003036745,-0.004799146,0.00783589,22572742.78
AKBNK,8.12.2015,0.021849964,35418565.76,0.045363308,0.011635566,0.029254482,-0.014532244,-0.010932785,-0.003599459,18144581.47
AKBNK,9.12.2015,0.033212996,34965955.54,0.05093739,0.036804753,0.04362674,0.029339477,0.020285398,0.00905408,21482184.53
AKBNK,10.12.2015,0.046309696,43596736.83,0.036033701,0.015199879,0.026444662,-0.029995523,-0.029893648,-0.000101876,26529999.45
AKBNK,11.12.2015,0.052671181,29135756.72,0.031075848,0.012523822,0.023476273,-0.046923079,-0.028662071,-0.018261008,37222370.51
AKBNK,14.12.2015,0.039755352,27189845.42,0.037075486,0.023653749,0.029814172,-0.004681195,-0.013824634,0.00914344,20611111.07
AKBNK,15.12.2015,0.043576259,57446241,0.034291652,0.030215169,0.032124604,0.04184236,0.041092221,0.000750139,31756550.07
AKBNK,16.12.2015,0.02804428,28909702.99,0.050695666,0.01874063,0.035982397,0.019302616,0.009354491,0.009948125,28819421.31
AKBNK,17.12.2015,0.027516293,46714967.73,0.045348358,0.015709157,0.031158227,0.007330482,0.012084011,-0.004753529,34057948.74
AKBNK,18.12.2015,0.024944975,55875037.59,0.029003559,0.010095012,0.020052473,-0.018799271,-0.016978674,-0.001820598,22759014.74
